,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
770,Ga,Mo,B,0.99984,2.60065,0.45247,0.37666,-36.29505,-3.4031,0.88,5.6565,6.4838,0.17,0.49,1.45,28.9,71.9,5.56757,31,3.6919999999999997
772,Ga,Ta,B,0.99979,2.60858,0.26107,0.34529,-35.36306,-3.03329,0.83,5.6565,7.3632,0.17,0.605,1.45,28.9,31.0,5.62628,31,2.91161
774,Ga,V,B,0.99985,3.54264,0.31683,0.33597,-38.94985,-2.59927,0.84,5.6565,6.4707,0.17,0.26,1.35,28.9,50.6,5.47915,31,5.16506
776,Ga,Hf,B,0.99981,3.9298,0.19255,0.29878000000000005,-27.68473,-0.71417,0.775,5.6565,7.6487,0.17,0.63,1.55,28.9,0.0,5.53872,31,6.49829
778,Ga,Nb,B,0.9998,3.25149,0.28467,0.35891,-31.574720000000006,-2.43213,0.82,5.6565,6.275,0.17,0.51,1.45,28.9,86.1,5.59583,31,3.61458
780,Ge,Ge,B,0.99992,3.37171,0.99992,0.99997,3.37171,-1.44747,1.92,7.4167,7.4167,0.16,0.16,1.25,119.0,119.0,6.18765,32,5.46623
781,Ge,Ge,B,0.99992,3.37171,0.99992,0.99997,3.37171,-1.44747,1.92,7.4167,7.4167,0.16,0.16,1.25,119.0,119.0,6.18765,32,5.46623
784,In,Mn,B,0.99957,3.39075,0.6591199999999999,0.34027,-48.76713,-3.14828,0.94,5.3782,8.2684,0.36,0.23,1.4,28.9,0.0,5.48029,49,5.00472
786,In,Cr,B,0.99957,3.32185,0.501,0.3455,-43.97481,-3.19026,0.89,5.3782,6.7401,0.36,0.25,1.4,28.9,64.3,5.48029,49,4.53183
788,In,Re,B,0.99962,2.47521,0.59121,0.36977,-43.41663,-3.96641,0.94,5.3782,7.853,0.36,0.565,1.35,28.9,14.5,5.56596,49,3.9666
790,In,W,B,0.99953,2.45291,0.42847,0.35303,-39.77474,-3.8873,0.885,5.3782,7.6293,0.36,0.59,1.35,28.9,78.6,5.66742,49,3.27571
792,In,Mo,B,0.99955,2.94079,0.46428,0.3672,-36.25793,-3.38383,0.88,5.3782,6.4838,0.36,0.49,1.45,28.9,71.9,5.53233,49,3.83613
794,In,V,B,0.99958,3.18289,0.33583,0.31623,-39.10104000000001,-3.11895,0.84,5.3782,6.4707,0.36,0.26,1.35,28.9,50.6,5.44447,49,4.56503
796,In,Ta,B,0.99941,2.81237,0.26172,0.33954,-35.75867,-3.22077,0.83,5.3782,7.3632,0.36,0.605,1.45,28.9,31.0,5.5906699999999985,49,3.11064
798,In,Nb,B,0.99946,3.1003700000000003,0.29388000000000003,0.35051,-32.04014,-2.91227,0.82,5.3782,6.275,0.36,0.51,1.45,28.9,86.1,5.56041,49,3.76184
800,In,Hf,B,0.99943,3.47514,0.19479,0.29771,-28.57348,-1.44697,0.775,5.3782,7.6487,0.36,0.63,1.55,28.9,0.0,5.50366,49,4.4361
802,In,Zr,B,0.99953,3.45689,0.18779,0.29482,-24.9626,-1.36169,0.76,5.3782,6.8953,0.36,0.54,1.55,28.9,41.1,5.4565199999999985,49,4.42096
804,In,Sc,B,0.99957,3.99524,0.11706,0.2263,-24.339170000000006,-0.71841,0.74,5.3782,6.8245,0.36,0.31,1.6,28.9,18.1,5.36345,49,4.31149
806,In,Ti,B,0.99956,3.21415,0.18734,0.29625,-33.43307,-2.5071,0.79,5.3782,7.2564,0.36,0.28,1.4,28.9,7.6,5.39832,49,4.60836
808,Ga,Sn,B,0.99984,4.17746,0.99974,0.99859,4.96326,-1.06524,1.84,5.6565,6.8885,0.17,0.345,1.45,28.9,107.3,5.67736,31,4.89116
810,Sn,Sb,B,0.99986,0.22947,0.99997,0.99938,0.3578,-3.59606,2.08,6.8885,8.3266,0.345,0.335,1.45,107.3,103.2,6.16971,50,4.94528
812,Ga,Sb,B,0.99983,4.01001,0.99996,0.99903,2.30076,-2.09904,2.08,5.6565,8.3266,0.17,0.335,1.45,28.9,103.2,5.81569,31,5.7020300000000015
814,Sn,Sn,B,0.99978,2.95982,0.99978,0.99991,2.95982,-1.80445,1.84,6.8885,6.8885,0.345,0.345,1.45,107.3,107.3,6.0229599999999985,50,4.98538
815,Sn,Sn,B,0.99978,2.95982,0.99978,0.99991,2.95982,-1.80445,1.84,6.8885,6.8885,0.345,0.345,1.45,107.3,107.3,6.0229599999999985,50,4.98538
818,Sn,Ge,B,0.99973,2.97607,0.99997,0.99938,3.19155,-2.02129,1.92,6.8885,7.4167,0.345,0.16,1.25,107.3,119.0,6.10475,50,5.54568
820,Sn,Ga,B,0.9997,3.3767400000000003,0.9995,0.99882,5.82316,-1.0342,1.68,6.8885,5.6565,0.345,0.17,1.3,107.3,28.9,5.67736,50,5.07721
822,Sn,In,B,0.99979,3.27975,0.99968,0.98903,5.84535,-0.67902,1.6,6.8885,5.3782,0.345,0.36,1.55,107.3,28.9,5.6414300000000015,50,4.61032
824,Sn,Fe,B,0.99984,2.11033,0.7911,0.37549,-53.58493000000001,-2.95439,0.99,6.8885,8.5601,0.345,0.22,1.4,107.3,15.7,5.95418,50,5.20488
826,Sn,Al,B,0.99956,3.4401900000000003,0.0,0.0,7.73037,-1.41065,1.66,6.8885,5.7109,0.345,0.0,1.25,107.3,42.5,5.68797,50,5.08223
828,Sn,Mn,B,0.99984,1.79214,0.6565,0.33756,-48.82981,-3.22646,0.94,6.8885,8.2684,0.345,0.23,1.4,107.3,0.0,5.85093,50,4.96212
830,Sn,W,B,0.99984,-0.26002,0.48433,0.33798,-39.67924,-4.75155,0.885,6.8885,7.6293,0.345,0.59,1.35,107.3,78.6,6.05072,50,2.67784
832,Sn,Re,B,0.99988,-0.06619,0.6360899999999999,0.35432,-43.20823,-4.58667,0.94,6.8885,7.853,0.345,0.565,1.35,107.3,14.5,5.9424,50,3.52795
834,Sn,Cr,B,0.99984,1.44996,0.52349,0.34065,-44.14302,-3.46392,0.89,6.8885,6.7401,0.345,0.25,1.4,107.3,64.3,5.85093,50,4.3704800000000015
836,Pb,Ta,B,0.99951,-0.18779,0.32503000000000004,0.31966,-35.90859000000001,-4.58281,0.83,6.6709,7.3632,0.45,0.605,1.45,35.1,31.0,5.85334,82,2.42831
838,Bi,Al,B,0.99947,0.98441,0.0,0.0,6.1342300000000005,-2.30302,1.66,7.9894,5.7109,0.43799999999999994,0.0,1.25,91.2,42.5,6.50617,83,5.807
840,Bi,Mn,B,0.99984,-0.50464,0.70503,0.29911,-48.50102,-3.90157,0.94,7.9894,8.2684,0.43799999999999994,0.23,1.4,91.2,0.0,6.69258,83,4.1821
842,Pb,Nb,B,0.99955,0.050460000000000005,0.36199,0.32733,-32.14667,-4.19604,0.82,6.6709,6.275,0.45,0.51,1.45,35.1,86.1,5.82167,82,2.42681
844,Bi,Re,B,0.99987,-1.00818,0.63847,0.35034,-43.10166,-4.54469,0.94,7.9894,7.853,0.43799999999999994,0.565,1.35,91.2,14.5,6.7972100000000015,83,3.89195
846,Pb,V,B,0.99964,1.44044,0.35288,0.30609000000000003,-39.31705,-3.4500300000000004,0.84,6.6709,6.4707,0.45,0.26,1.35,35.1,50.6,5.70028,82,4.32715
848,Pb,Ti,B,0.99959,2.43551,0.18853,0.2944,-33.22546,-2.08698,0.79,6.6709,7.2564,0.45,0.28,1.4,35.1,7.6,5.65197,82,5.53671
849,Pb,Sc,B,0.99957,3.39503,0.11496,0.2174,-24.46344,-0.48355,0.74,6.6709,6.8245,0.45,0.31,1.6,35.1,18.1,5.61546,82,5.5046800000000005
851,Pb,Hf,B,0.99941,2.50317,0.19641,0.2973,-28.48527,-1.22836,0.775,6.6709,7.6487,0.45,0.63,1.55,35.1,0.0,5.76225,82,4.79127
853,Pb,Zr,B,0.99952,1.96151,0.1903,0.29456,-25.36512,-1.6566299999999998,0.76,6.6709,6.8953,0.45,0.54,1.55,35.1,41.1,5.71289,82,3.54516
